15,15.00,1733395330
37,18.00,1733395330
112,20.00,1733395330
132,24.00,1733395330
15,14.93,1733395360
37,18.08,1733395360
112,19.86,1733395360
132,23.93,1733395360
15,14.73,1733395390
49,18.79,1733395390
112,19.74,1733395390
132,24.04,1733395390
15,14.63,1733395420
37,18.27,1733395420
112,19.71,1733395420
132,23.84,1733395420
15,14.50,1733395450
37,18.06,1733395450
129,23.27,1733395450
142,25.03,1733395450
21,16.76,1733395480
49,18.83,1733395480
129,23.26,1733395480
142,25.28,1733395480
21,16.97,1733395510
49,18.72,1733395510
129,23.11,1733395510
142,25.17,1733395510
21,17.09,1733395540
49,18.63,1733395540
129,23.06,1733395540
142,25.34,1733395540
21,17.08,1733395570
112,20.11,1733395570
132,23.92,1733395570
142,25.40,1733395570
21,17.00,1733395600
112,20.09,1733395600
132,24.05,1733395600
15,14.63,1733395630
37,18.54,1733395630
112,20.21,1733395630
132,23.96,1733395630
142,25.55,1733395630
37,18.47,1733395660
112,20.37,1733395660
132,24.12,1733395660
15,14.72,1733395690
37,18.24,1733395690
49,18.57,1733395690
129,22.89,1733395690
15,14.66,1733395720
21,17.60,1733395720
49,18.55,1733395720
132,23.64,1733395720
142,25.68,1733395720
37,18.31,1733395750
112,20.18,1733395750
132,23.58,1733395750
142,25.51,1733395750
21,17.57,1733395780
49,18.60,1733395780
132,23.47,1733395780
15,14.28,1733395810
37,18.53,1733395810
112,20.19,1733395810
132,23.51,1733395810
142,25.38,1733395810
37,18.44,1733395840
49,18.79,1733395840
132,23.43,1733395840
142,25.28,1733395840
21,18.04,1733395870
112,20.26,1733395870
132,23.53,1733395870
15,14.03,1733395900
37,18.10,1733395900
112,20.49,1733395900
132,23.39,1733395900
15,14.08,1733395930
37,18.25,1733395930
112,20.30,1733395930
132,23.57,1733395930
15,14.16,1733395960
37,18.28,1733395960
112,20.08,1733395960
132,23.48,1733395960
15,14.36,1733395990
37,18.24,1733395990
112,19.85,1733395990
132,23.48,1733395990
15,14.44,1733396020
37,18.26,1733396020
49,18.95,1733396020
129,22.88,1733396020
142,25.48,1733396020
21,18.31,1733396050
49,19.19,1733396050
129,22.72,1733396050
142,25.48,1733396050
21,18.11,1733396080
49,19.23,1733396080
129,22.65,1733396080
142,25.24,1733396080
21,18.11,1733396110
49,19.22,1733396110
129,22.85,1733396110
132,23.37,1733396110
15,14.34,1733396140
49,19.00,1733396140
129,22.83,1733396140
142,24.99,1733396140
15,14.46,1733396170
37,17.88,1733396170
112,20.02,1733396170
142,25.03,1733396170
21,18.48,1733396200
37,18.05,1733396200
112,20.05,1733396200
132,23.15,1733396200
21,18.50,1733396230
49,19.48,1733396230
129,22.76,1733396230
142,24.86,1733396230
21,18.72,1733396260
49,19.40,1733396260
129,22.96,1733396260
142,24.85,1733396260
21,18.71,1733396290
49,19.56,1733396290
129,22.93,1733396290
142,25.03,1733396290
21,18.71,1733396320
49,19.80,1733396320
129,22.78,1733396320
142,25.27,1733396320
21,18.90,1733396350
49,19.95,1733396350
129,22.98,1733396350
142,25.23,1733396350
21,18.93,1733396380
49,20.03,1733396380
112,20.68,1733396380
132,23.70,1733396380
15,14.67,1733396410
37,17.63,1733396410
112,20.55,1733396410
132,23.85,1733396410
15,14.69,1733396440
37,17.68,1733396440
112,20.76,1733396440
132,24.01,1733396440
15,14.82,1733396470
37,17.92,1733396470
112,20.70,1733396470
132,24.14,1733396470
15,14.71,1733396500
49,19.93,1733396500
112,20.78,1733396500
142,25.23,1733396500
15,14.50,1733396530
49,19.77,1733396530
129,23.01,1733396530
142,25.43,1733396530
15,14.26,1733396560
49,20.02,1733396560
129,22.96,1733396560
132,23.77,1733396560
21,18.47,1733396590
37,17.76,1733396590
